property_name,flat_size,facing,property_price,overlooking,bathroom,balcony,super area,floor,ownership,carpet area,transaction,furnishing
Cedar Floors,4,,₹ 1.41 Cr,,4,,2350 sqft,2,,None,New Property,Semi-Furnished
Sabharwal Homes,4,,₹ 2.20 Cr,,4,,2050 sqft,3 out of 4 floors,,None,New Property,Furnished
M3M Woodshire,4,,₹ 1.37 Cr,,5,,2746 sqft,,,None,New Property,Semi-Furnished
M3M Golf Estate,4,North - East,₹ 4.50 Cr,"Garden/Park, Pool, Main Road",5,4.0,None,10 out of 40 floors,Freehold,5100 sqft,Resale,Semi-Furnished
ATS Kocoon,5,North - East,₹ 3.35 Cr,"Garden/Park, Pool, Main Road",6,4.0,None,24 out of 24 floors,Freehold,4200 sqft,Resale,Semi-Furnished
Tata Raisina Residency,5,North - East,₹ 4.27 Cr,Garden/Park,6,7.0,None,18 out of 19 floors,Freehold,5000 sqft,Resale,Semi-Furnished
Central Park Flower Valley Fleur Villas,5,North - East,₹ 4.15 Cr,"Garden/Park, Pool, Main Road",4,8.0,None,Ground out of 3 floors,Freehold,360 sqyrd,New Property,Furnished
Park View Grand Spa,5,East,₹ 4.70 Cr,"Garden/Park, Pool",6,7.0,None,18 out of 19 floors,Freehold,3800 sqft,Resale,Furnished
Tulip Ace,5,,₹ 1.50 Cr,,5,,4031 sqft,,,None,New Property,Unfurnished
Atharva,5,North - East,₹ 1.40 Cr,Garden/Park,4,4.0,None,5 out of 14 floors,Freehold,2300 sqft,Resale,Semi-Furnished
orchid petals,5,East,₹ 3 Cr,"Garden/Park, Pool",6,4.0,3557 sqft,14 out of 14 floors,Freehold,None,Resale,Semi-Furnished
MGF The Vilas,5,East,₹ 7 Cr,"Pool, Garden/Park, Main Road",5,5.0,4200 sqft,4 out of 15 floors,Freehold,None,Resale,Semi-Furnished
Ansals Palam Vihar,5,South,₹ 2.50 Cr,Main Road,6,3.0,None,2 out of 4 floors,Leasehold,4500 sqft,New Property,Semi-Furnished
Ambience Creacions,5,North - East,₹ 3.25 Cr,"Garden/Park, Pool, Main Road",4,4.0,None,4 out of 15 floors,Freehold,3580 sqft,New Property,Semi-Furnished
Parsvnath Exotica,5,North - East,₹ 4.75 Cr,"Garden/Park, Pool, Main Road",6,6.0,7200 sqft,14 out of 14 floors,Freehold,None,New Property,Unfurnished
Not Given,5,North - East,₹ 2.10 Cr,"Garden/Park, Pool",4,2.0,None,8 out of 24 floors,Freehold,3400 sqft,Resale,Semi-Furnished
Tulip IVORY,5,East,₹ 1.80 Cr,"Pool, Garden/Park, Main Road",7,3.0,None,3 out of 3 floors,Freehold,3080 sqft,Resale,Semi-Furnished
Godrej Meridien,5,North - East,₹ 5.25 Cr,"Garden/Park, Pool, Main Road",6,6.0,None,4 out of 34 floors,Freehold,4901 sqft,New Property,Unfurnished
Malibu Town,5,South - East,₹ 2.25 Cr,"Garden/Park, Main Road",4,2.0,None,1 out of 4 floors,Freehold,3000 sqft,New Property,Semi-Furnished
The Magnolias,5,East,₹ 15.25 Cr,"Garden/Park, Pool",5,4.0,None,7 out of 23 floors,Freehold,5800 sqft,New Property,Semi-Furnished
DLF City Plot Phase 2,5,North - East,₹ 3 Cr,"Garden/Park, Main Road",5,,None,Ground out of 3 floors,Freehold,3000 sqft,New Property,Semi-Furnished
Vipul Belmonte,5,East,₹ 4.50 Cr,Garden/Park,5,4.0,3925 sqft,2 out of 15 floors,Freehold,None,Resale,Semi-Furnished
Project Central Park 1,5,North,₹ 6 Cr,"Garden/Park, Pool",5,5.0,None,4 out of 16 floors,Freehold,4300 sqft,Resale,Semi-Furnished
Ireo Victory Valley,5,North - East,₹ 3.54 Cr,"Garden/Park, Pool",4,3.0,4834 sqft,42 out of 51 floors,Freehold,None,New Property,Semi-Furnished
The Hermitage,5,,₹ 2.10 Cr,,6,,438 sqm,,,None,New Property,Unfurnished
M3M Golf Estate,5,,₹ 5 Cr,"Garden/Park, Pool",3,3.0,5560 sqft,29 out of 35 floors,Freehold,None,Resale,Semi-Furnished
Indiabulls Enigma,5,North - East,₹ 2.20 Cr,Garden/Park,5,4.0,None,5 out of 22 floors,Freehold,2700 sqft,Resale,Semi-Furnished
Essel Towers,>5,,₹ 3.50 Cr,,6,,3250 sqft,12 out of 16 floors,,None,Resale,Furnished
Parsvnath Exotica,>5,North - East,₹ 6 Cr,"Garden/Park, Pool, Main Road",6,6.0,None,11 out of 12 floors,Freehold,6100 sqft,Resale,Furnished
Not Given,>5,,₹ 3.50 Cr,Main Road,6,4.0,3000 sqft,,Freehold,None,Resale,Semi-Furnished
Southend Floors,>5,North - East,₹ 2.45 Cr,"Garden/Park, Main Road",8,2.0,None,Ground out of 2 floors,Freehold,2100 sqft,Resale,Semi-Furnished
Karamyogi Apartments,>5,,₹ 1.80 Cr,"Garden/Park, Main Road",4,8.0,None,6 out of 9 floors,Freehold,3556 sqft,Resale,Semi-Furnished
Sushant Lok Builder Floors,>5,North - East,₹ 2.65 Cr,Main Road,10,4.0,2750 sqft,1 out of 4 floors,Freehold,None,New Property,Semi-Furnished
Tulip IVORY,>5,North - East,₹ 2.30 Cr,"Garden/Park, Pool, Main Road",6,3.0,None,Ground out of 12 floors,Freehold,3850 sqft,Resale,Unfurnished
Ambience Caitriona,>5,East,₹ 11.80 Cr,"Garden/Park, Pool, Main Road",6,5.0,None,10 out of 12 floors,Freehold,8000 sqft,Resale,Semi-Furnished
MGF The Vilas,>5,,₹ 8.25 Cr,,7,,7100 sqft,,,None,New Property,Unfurnished
Tata Raisina Residency,>5,North - East,₹ 4.25 Cr,Garden/Park,5,5.0,None,6 out of 18 floors,Freehold,6000 sqft,Resale,Semi-Furnished
Rosewood City,>5,East,₹ 1.35 Cr,"Garden/Park, Pool, Main Road",5,5.0,None,5 out of 5 floors,Freehold,3000 sqft,Resale,Furnished
DLF New Town Heights 2,>5,North - East,₹ 95 Lac,Main Road,3,3.0,1935 sqft,8 out of 18 floors,Freehold,None,Resale,Semi-Furnished
Ireo Victory Valley,>5,North - East,₹ 1.21 Cr,"Pool, Garden/Park",2,3.0,None,14 out of 36 floors,Freehold,1433 sqft,Resale,Furnished
The Verandas,>5,East,₹ 13 Cr,"Garden/Park, Pool",5,5.0,"13,000 sqft",Ground out of 15 floors,Freehold,None,Resale,Semi-Furnished
The Hermitage,>5,East,₹ 2.10 Cr,"Garden/Park, Pool",6,5.0,438 sqm,11 out of 12 floors,Freehold,None,New Property,Semi-Furnished
DLF Camellias,>5,East,₹ 40 Cr,"Garden/Park, Pool",7,4.0,None,32 out of 40 floors,Freehold,11300 sqft,Resale,Unfurnished
